year,pet,household
2011,Dog,46.3
2013,Dog,56.7
2015,Dog,54.4
2017,Dog,60.2
2019,Dog,63.4
2021,Dog,69
2023,Dog,65.1
2011,Cat,38.9
2013,Cat,45.3
2015,Cat,42.9
2017,Cat,47.1
2019,Cat,42.7
2021,Cat,45.3
2023,Cat,46.5
2011,Freshwater fish,11.9
2013,Freshwater fish,14.3
2015,Freshwater fish,12.3
2017,Freshwater fish,12.5
2019,Freshwater fish,11.5
2021,Freshwater fish,11.8
2023,Freshwater fish,11.1
2011,Bird,5.7
2013,Bird,6.9
2015,Bird,6.1
2017,Bird,7.9
2019,Bird,5.7
2021,Bird,9.9
2023,Bird,6.1
2011,Small animal,5
2013,Small animal,6.9
2015,Small animal,5.4
2017,Small animal,6.7
2019,Small animal,5.4
2021,Small animal,6.2
2023,Small animal,6.7
2011,Reptile,4.6
2013,Reptile,5.6
2015,Reptile,4.9
2017,Reptile,4.7
2019,Reptile,4.5
2021,Reptile,5.7
2023,Reptile,6
2011,Horse,2.4
2013,Horse,2.8
2015,Horse,2.5
2017,Horse,2.6
2019,Horse,1.6
2021,Horse,3.5
2023,Horse,2.2
2011,Saltwater fish,0.7
2013,Saltwater fish,1.8
2015,Saltwater fish,1.3
2017,Saltwater fish,2.5
2019,Saltwater fish,1.6
2021,Saltwater fish,2.9
2023,Saltwater fish,2.2
