Year,State,Relinquished By Owner Total,Stray At Large Total,Transferred In Total,Owner Intended Euthanasia Total,Other Intakes Total,Animal Type
2019,All,576713,1163809,392578,58342,177666,All
2020,All,443972,840648,370144,43482,144747,All
2021,All,479483,909414,346664,40178,169874,All
2022,All,489083,967759,330003,35186,171668,All
2019,All,288105,609063,169037,19592,80489,Feline
2020,All,234811,459496,174634,13457,66104,Feline
2021,All,256034,497863,165098,12589,81955,Feline
2022,All,262601,508100,163034,10388,78524,Feline
2019,Alaska,359,579,50,0,57,Feline
2020,Alaska,163,604,65,1,9,Feline
2021,Alaska,147,556,42,0,58,Feline
2022,Alaska,247,554,5,0,73,Feline
2019,Alabama,1526,3389,442,0,433,Feline
2020,Alabama,1346,2924,427,0,453,Feline
2021,Alabama,1454,3058,586,0,828,Feline
2022,Alabama,1328,3043,704,0,679,Feline
2019,Arkansas,939,3549,173,4,285,Feline
2020,Arkansas,909,2636,503,3,186,Feline
2021,Arkansas,972,2470,363,90,289,Feline
2022,Arkansas,1107,2631,322,4,539,Feline
2019,Arizona,12696,15281,1904,713,1978,Feline
2020,Arizona,9418,12588,1871,605,1430,Feline
2021,Arizona,10747,15783,1618,256,1842,Feline
2022,Arizona,9770,16069,1692,170,1717,Feline
2019,California,28721,133473,21007,2904,5477,Feline
2020,California,19454,73926,20317,1960,5005,Feline
2021,California,20480,76071,14505,1970,9458,Feline
2022,California,23613,85752,17054,1527,7449,Feline
2019,Colorado,12323,16453,7976,230,3781,Feline
2020,Colorado,10296,14314,8531,136,4403,Feline
2021,Colorado,12903,17285,7250,173,4477,Feline
2022,Colorado,14142,18610,7410,181,3809,Feline
2019,Connecticut,990,1712,915,109,362,Feline
2020,Connecticut,722,1274,1047,70,427,Feline
2021,Connecticut,813,1107,597,94,1008,Feline
2022,Connecticut,750,954,459,108,953,Feline
2019,Delaware,479,532,29,0,14,Feline
2020,Delaware,561,331,2,0,79,Feline
2021,Delaware,589,606,7,0,56,Feline
2022,Delaware,566,923,1,0,21,Feline
2019,Florida,15816,42121,9387,2461,3939,Feline
2020,Florida,14130,37365,9145,1687,3405,Feline
2021,Florida,16057,41960,8424,1546,4424,Feline
2022,Florida,15129,40967,9836,905,4455,Feline
2019,Georgia,8533,11723,7137,89,3808,Feline
2020,Georgia,7543,10226,7438,72,3216,Feline
2021,Georgia,8659,11874,8267,93,3899,Feline
2022,Georgia,8792,10661,7702,52,2701,Feline
2019,Hawaii,2801,12810,0,99,9,Feline
2020,Hawaii,2272,8403,4,161,54,Feline
2021,Hawaii,2571,8163,182,274,59,Feline
2022,Hawaii,2296,7554,84,256,13,Feline
2019,Iowa,4273,6566,234,327,1144,Feline
2020,Iowa,4027,5952,383,351,499,Feline
2021,Iowa,4096,6775,658,358,662,Feline
2022,Iowa,4582,6365,420,0,833,Feline
2019,Idaho,3288,11431,515,171,1311,Feline
2020,Idaho,2641,9255,725,132,861,Feline
2021,Idaho,2974,8805,564,138,603,Feline
2022,Idaho,2512,10098,483,96,1656,Feline
2019,Illinois,4775,5608,5739,93,570,Feline
2020,Illinois,4556,4519,6369,86,574,Feline
2021,Illinois,5849,4481,6510,101,1248,Feline
2022,Illinois,6149,5242,6656,87,1570,Feline
2019,Indiana,11094,17530,4055,372,3522,Feline
2020,Indiana,8321,14161,4099,331,2369,Feline
2021,Indiana,9881,17257,4682,340,2976,Feline
2022,Indiana,10190,17283,3747,384,2582,Feline
2019,Kansas,5486,3730,4910,214,157,Feline
2020,Kansas,4111,2887,4187,149,218,Feline
2021,Kansas,4181,2433,4819,203,579,Feline
2022,Kansas,4535,2530,4688,154,494,Feline
2019,Kentucky,5153,9598,3363,57,614,Feline
2020,Kentucky,5505,7750,3180,40,419,Feline
2021,Kentucky,5746,8035,3956,55,539,Feline
2022,Kentucky,5838,7014,3372,50,515,Feline
2019,Louisiana,3206,11289,2062,156,3234,Feline
2020,Louisiana,2242,9253,2282,99,1683,Feline
2021,Louisiana,3314,11775,1856,188,1151,Feline
2022,Louisiana,2868,11564,1185,113,828,Feline
2019,Massachusetts,4157,2996,2006,535,431,Feline
2020,Massachusetts,2889,2312,2120,437,327,Feline
2021,Massachusetts,2978,1814,2698,391,247,Feline
2022,Massachusetts,2947,2042,2879,384,433,Feline
2019,Maryland,4310,5651,2381,243,471,Feline
2020,Maryland,3855,4881,2624,174,846,Feline
2021,Maryland,2943,6244,2210,180,1227,Feline
2022,Maryland,3041,7068,2018,149,379,Feline
2019,Maine,1679,1473,810,22,171,Feline
2020,Maine,1498,898,630,14,154,Feline
2021,Maine,1550,850,671,16,375,Feline
2022,Maine,1682,971,641,18,264,Feline
2019,Michigan,11329,13683,2647,1444,1033,Feline
2020,Michigan,9261,10768,2354,842,1196,Feline
2021,Michigan,10173,12576,2752,871,928,Feline
2022,Michigan,9455,13551,1916,851,1191,Feline
2019,Minnesota,2237,3336,2316,28,1364,Feline
2020,Minnesota,2616,3409,2839,10,890,Feline
2021,Minnesota,2699,3089,3302,35,1476,Feline
2022,Minnesota,2968,3170,3508,91,2094,Feline
2019,Missouri,5349,7257,1911,3,4724,Feline
2020,Missouri,6419,6336,1886,9,5448,Feline
2021,Missouri,7722,5958,2812,10,7865,Feline
2022,Missouri,7126,6028,3322,31,8086,Feline
2019,Mississippi,2293,2940,1317,56,134,Feline
2020,Mississippi,2111,2476,896,56,102,Feline
2021,Mississippi,2544,2642,990,54,49,Feline
2022,Mississippi,2064,2452,1059,154,74,Feline
2019,Montana,2626,3369,275,33,523,Feline
2020,Montana,2315,2882,295,29,445,Feline
2021,Montana,2489,2821,361,28,1217,Feline
2022,Montana,3181,3210,293,22,1428,Feline
2019,North Carolina,9425,22138,5710,179,4102,Feline
2020,North Carolina,7396,16341,4906,130,3239,Feline
2021,North Carolina,8304,19209,5613,209,2022,Feline
2022,North Carolina,8063,19210,5216,224,1839,Feline
2019,North Dakota,368,1542,658,0,407,Feline
2020,North Dakota,433,1310,413,0,432,Feline
2021,North Dakota,385,1330,596,0,394,Feline
2022,North Dakota,584,1683,571,0,340,Feline
2019,Nebraska,2203,3468,231,1,333,Feline
2020,Nebraska,1649,2598,522,0,352,Feline
2021,Nebraska,1532,2264,655,1,200,Feline
2022,Nebraska,1526,2640,617,1,143,Feline
2019,New Hampshire,1829,1190,870,19,134,Feline
2020,New Hampshire,1228,756,1205,9,166,Feline
2021,New Hampshire,1437,911,1213,14,212,Feline
2022,New Hampshire,1249,772,1337,13,251,Feline
2019,New Jersey,3583,11176,2269,17,752,Feline
2020,New Jersey,3657,11050,2739,13,390,Feline
2021,New Jersey,3368,10703,2391,5,570,Feline
2022,New Jersey,2805,11163,1943,2,554,Feline
2019,New Mexico,3649,5414,651,214,4239,Feline
2020,New Mexico,2233,4374,558,147,2962,Feline
2021,New Mexico,1950,7006,735,114,1455,Feline
2022,New Mexico,2065,7427,341,224,1571,Feline
2019,Nevada,2643,8137,1579,570,1155,Feline
2020,Nevada,1908,6596,1372,584,949,Feline
2021,Nevada,2106,7376,1271,419,1388,Feline
2022,Nevada,2654,7654,2097,271,1511,Feline
2019,New York,15918,22373,5982,1384,2701,Feline
2020,New York,11379,17094,7396,1210,1685,Feline
2021,New York,12128,17044,6750,749,2091,Feline
2022,New York,12828,17405,5454,756,2021,Feline
2019,Ohio,5149,10879,2063,176,2976,Feline
2020,Ohio,3731,8734,2850,169,1637,Feline
2021,Ohio,5177,9169,3232,128,2494,Feline
2022,Ohio,5672,10413,3456,131,2172,Feline
2019,Oklahoma,1697,1950,3184,0,1001,Feline
2020,Oklahoma,1867,1823,2902,11,194,Feline
2021,Oklahoma,1852,1543,2011,43,1389,Feline
2022,Oklahoma,2420,1571,1507,74,850,Feline
2019,Oregon,7946,6970,5601,537,1139,Feline
2020,Oregon,6292,6440,3729,402,607,Feline
2021,Oregon,6008,5978,2973,369,681,Feline
2022,Oregon,7218,6630,3739,300,870,Feline
