Year,State,intake_feline,intake_canine,outcome_feline,outcome_canine,total_intake,total_outcome,net_outcome
2019,Alaska,1045.0,125.0,750.0,764.0,1170.0,1514.0,344.0
2020,Alaska,842.0,204.0,703.0,708.0,1046.0,1411.0,365.0
2021,Alaska,803.0,160.0,789.0,764.0,963.0,1553.0,590.0
2022,Alaska,879.0,120.0,790.0,781.0,999.0,1571.0,572.0
2019,Alabama,5790.0,1140.0,11030.0,8047.0,6930.0,19077.0,12147.0
2020,Alabama,5150.0,953.0,10210.0,9162.0,6103.0,19372.0,13269.0
2021,Alabama,5926.0,1203.0,9139.0,10686.0,7129.0,19825.0,12696.0
2022,Alabama,5754.0,794.0,8850.0,10463.0,6548.0,19313.0,12765.0
2019,Arkansas,4950.0,1273.0,9181.0,9131.0,6223.0,18312.0,12089.0
2020,Arkansas,4237.0,909.0,6360.0,6213.0,5146.0,12573.0,7427.0
2021,Arkansas,4184.0,740.0,6721.0,6565.0,4924.0,13286.0,8362.0
2022,Arkansas,4603.0,718.0,7313.0,7056.0,5321.0,14369.0,9048.0
2019,Arizona,32572.0,4954.0,63540.0,62972.0,37526.0,126512.0,88986.0
2020,Arizona,25912.0,3523.0,46060.0,47370.0,29435.0,93430.0,63995.0
2021,Arizona,30246.0,6026.0,49606.0,50466.0,36272.0,100072.0,63800.0
2022,Arizona,29418.0,4128.0,49539.0,50777.0,33546.0,100316.0,66770.0
2019,California,191582.0,46183.0,209876.0,170545.0,237765.0,380421.0,142656.0
2020,California,120662.0,30894.0,121238.0,113836.0,151556.0,235074.0,83518.0
2021,California,122484.0,30723.0,124957.0,113284.0,153207.0,238241.0,85034.0
2022,California,135395.0,29036.0,148582.0,125058.0,164431.0,273640.0,109209.0
2019,Colorado,40763.0,7930.0,37575.0,38838.0,48693.0,76413.0,27720.0
2020,Colorado,37680.0,8344.0,30356.0,32690.0,46024.0,63046.0,17022.0
2021,Colorado,42088.0,9242.0,34860.0,33136.0,51330.0,67996.0,16666.0
2022,Colorado,44152.0,8400.0,36162.0,33138.0,52552.0,69300.0,16748.0
2019,Connecticut,4088.0,407.0,2483.0,2460.0,4495.0,4943.0,448.0
2020,Connecticut,3540.0,670.0,1625.0,1713.0,4210.0,3338.0,-872.0
2021,Connecticut,3619.0,754.0,1247.0,1806.0,4373.0,3053.0,-1320.0
2022,Connecticut,3224.0,622.0,1374.0,1835.0,3846.0,3209.0,-637.0
2019,Delaware,1054.0,180.0,565.0,506.0,1234.0,1071.0,-163.0
2020,Delaware,973.0,139.0,502.0,430.0,1112.0,932.0,-180.0
2021,Delaware,1258.0,155.0,618.0,544.0,1413.0,1162.0,-251.0
2022,Delaware,1511.0,85.0,498.0,432.0,1596.0,930.0,-666.0
2019,Florida,73724.0,20877.0,65116.0,58847.0,94601.0,123963.0,29362.0
2020,Florida,65732.0,19583.0,47889.0,47769.0,85315.0,95658.0,10343.0
2021,Florida,72411.0,20511.0,51233.0,50687.0,92922.0,101920.0,8998.0
2022,Florida,71292.0,19509.0,48083.0,47088.0,90801.0,95171.0,4370.0
2019,Georgia,31290.0,8730.0,41110.0,46112.0,40020.0,87222.0,47202.0
2020,Georgia,28495.0,8352.0,29919.0,35565.0,36847.0,65484.0,28637.0
2021,Georgia,32792.0,9437.0,31978.0,35045.0,42229.0,67023.0,24794.0
2022,Georgia,29908.0,7184.0,31584.0,31429.0,37092.0,63013.0,25921.0
2019,Hawaii,15719.0,2789.0,17480.0,8569.0,18508.0,26049.0,7541.0
2020,Hawaii,10894.0,1867.0,10634.0,6153.0,12761.0,16787.0,4026.0
2021,Hawaii,11249.0,2495.0,10204.0,6337.0,13744.0,16541.0,2797.0
2022,Hawaii,10203.0,2226.0,10670.0,7146.0,12429.0,17816.0,5387.0
2019,Iowa,12544.0,2905.0,9585.0,10548.0,15449.0,20133.0,4684.0
2020,Iowa,11212.0,2766.0,8642.0,8513.0,13978.0,17155.0,3177.0
2021,Iowa,12549.0,2580.0,10163.0,9498.0,15129.0,19661.0,4532.0
2022,Iowa,12200.0,2171.0,9991.0,10633.0,14371.0,20624.0,6253.0
2019,Idaho,16716.0,4589.0,18761.0,14866.0,21305.0,33627.0,12322.0
2020,Idaho,13614.0,3543.0,13781.0,12273.0,17157.0,26054.0,8897.0
2021,Idaho,13084.0,3543.0,14243.0,12574.0,16627.0,26817.0,10190.0
2022,Idaho,14845.0,4234.0,13180.0,14446.0,19079.0,27626.0,8547.0
2019,Illinois,16785.0,1243.0,21686.0,18797.0,18028.0,40483.0,22455.0
2020,Illinois,16104.0,1273.0,19740.0,17697.0,17377.0,37437.0,20060.0
2021,Illinois,18189.0,1767.0,19330.0,18132.0,19956.0,37462.0,17506.0
2022,Illinois,19704.0,2415.0,20810.0,19049.0,22119.0,39859.0,17740.0
2019,Indiana,36573.0,10810.0,30412.0,29580.0,47383.0,59992.0,12609.0
2020,Indiana,29281.0,9162.0,20779.0,21113.0,38443.0,41892.0,3449.0
2021,Indiana,35136.0,10440.0,24062.0,22741.0,45576.0,46803.0,1227.0
2022,Indiana,34186.0,8986.0,25017.0,22001.0,43172.0,47018.0,3846.0
2019,Kansas,14497.0,2999.0,15342.0,12877.0,17496.0,28219.0,10723.0
