Year,State,Adoption Total,Returned To Owner Total,Returned To Field Total,Transferred Out Total,Other Live Outcome Total,Others,Animal Type
2019,All,1315252,258223,74337,336261,44034,621243,All
2020,All,1093081,188753,57556,298578,33850,349920,All
2021,All,1126046,202379,60537,260787,41417,372243,All
2022,All,1167723,200781,54524,233357,40137,356157,All
2019,All,689404,30870,73013,135459,27206,207081,Feline
2020,All,611950,25528,56924,125521,19785,116640,Feline
2021,All,640050,28224,60256,111616,25622,124081,Feline
2022,All,662294,28520,54045,99238,24132,118719,Feline
2019,Alaska,743,55,0,42,0,62,Feline
2020,Alaska,652,114,0,34,14,54,Feline
2021,Alaska,712,98,1,31,2,48,Feline
2022,Alaska,623,46,0,53,11,33,Feline
2019,Alabama,2818,75,101,741,0,1907,Feline
2020,Alabama,2948,79,128,615,0,1393,Feline
2021,Alabama,3268,72,218,645,90,1842,Feline
2022,Alabama,3686,62,91,476,30,1556,Feline
2019,Arkansas,3449,490,50,367,226,488,Feline
2020,Arkansas,3475,129,93,270,267,348,Feline
2021,Arkansas,3414,80,171,194,198,313,Feline
2022,Arkansas,3651,80,157,389,3,274,Feline
2019,Arizona,22289,581,461,1749,1197,5476,Feline
2020,Arizona,18800,532,206,1831,412,4298,Feline
2021,Arizona,20134,556,151,1469,3104,4578,Feline
2022,Arizona,21656,511,137,1216,1622,4584,Feline
2019,California,100571,4588,8053,23715,4965,47976,Feline
2020,California,70428,3254,6372,16020,2489,19481,Feline
2021,California,72134,3471,7963,13056,2966,19415,Feline
2022,California,78729,3735,6146,12423,2827,22610,Feline
2019,Colorado,28473,1930,2405,2466,488,4547,Feline
2020,Colorado,26967,2125,2948,2441,382,3235,Feline
2021,Colorado,28297,2122,3417,2691,373,4209,Feline
2022,Colorado,27676,2137,2672,2561,429,4340,Feline
2019,Connecticut,3325,54,22,159,18,388,Feline
2020,Connecticut,2753,137,59,130,39,466,Feline
2021,Connecticut,2474,295,31,122,52,449,Feline
2022,Connecticut,2409,240,29,134,20,411,Feline
2019,Delaware,875,20,15,93,3,123,Feline
2020,Delaware,864,11,48,26,1,117,Feline
2021,Delaware,1120,18,59,25,0,119,Feline
2022,Delaware,1134,13,18,0,2,94,Feline
2019,Florida,40201,1121,6778,9033,1583,14741,Feline
2020,Florida,39063,1003,7650,8405,820,8518,Feline
2021,Florida,43707,1274,7980,7782,1446,9703,Feline
2022,Florida,43358,1141,7802,7432,1792,7658,Feline
2019,Georgia,19057,475,1017,6095,47,4606,Feline
2020,Georgia,17306,364,799,6411,35,3071,Feline
2021,Georgia,20025,462,991,4968,1920,3752,Feline
2022,Georgia,18454,398,628,3943,1436,3020,Feline
2019,Hawaii,4889,1313,552,740,0,8125,Feline
2020,Hawaii,4965,606,421,678,0,4056,Feline
2021,Hawaii,5193,447,775,1099,0,3237,Feline
2022,Hawaii,5133,431,817,782,0,2356,Feline
2019,Iowa,8024,551,880,734,105,2151,Feline
2020,Iowa,8055,492,853,937,106,1648,Feline
2021,Iowa,8442,567,724,825,61,1662,Feline
2022,Iowa,8704,612,663,368,69,1230,Feline
2019,Idaho,8926,484,1346,1255,1218,4919,Feline
2020,Idaho,8034,398,1017,1128,781,2744,Feline
2021,Idaho,8056,428,1726,779,392,2538,Feline
2022,Idaho,8816,525,2371,466,588,1682,Feline
2019,Illinois,13871,249,101,450,13,2456,Feline
2020,Illinois,13062,251,125,522,11,1540,Feline
2021,Illinois,14183,303,316,555,64,1771,Feline
2022,Illinois,15102,295,510,604,543,2004,Feline
2019,Indiana,20827,941,3616,4747,453,5280,Feline
2020,Indiana,18008,850,2627,4660,250,3425,Feline
2021,Indiana,19989,876,2275,5178,1009,4504,Feline
2022,Indiana,19895,959,2656,4064,296,4587,Feline
2019,Kansas,9727,503,3,2175,22,2012,Feline
2020,Kansas,8274,213,2,2184,1,954,Feline
2021,Kansas,8976,178,5,1963,1,1167,Feline
2022,Kansas,9437,169,203,1578,63,951,Feline
2019,Kentucky,10667,285,1497,2317,137,3687,Feline
2020,Kentucky,9567,318,2072,2861,126,2145,Feline
2021,Kentucky,10265,315,1833,2921,69,2414,Feline
2022,Kentucky,9410,326,1449,2771,80,1801,Feline
2019,Louisiana,6871,289,2166,3792,73,5310,Feline
2020,Louisiana,5892,198,1673,4780,191,2477,Feline
2021,Louisiana,6783,328,1417,6211,141,2272,Feline
2022,Louisiana,6836,269,2124,4198,120,1776,Feline
2019,Massachusetts,7997,408,215,139,20,1204,Feline
2020,Massachusetts,6629,305,178,55,18,930,Feline
2021,Massachusetts,6792,296,41,54,2,741,Feline
2022,Massachusetts,7437,281,39,42,0,838,Feline
2019,Maryland,8327,407,391,2176,57,2225,Feline
2020,Maryland,7544,290,608,2367,36,1663,Feline
2021,Maryland,7910,289,941,1962,26,1754,Feline
2022,Maryland,8016,503,153,1819,17,1635,Feline
2019,Maine,3740,108,2,89,9,246,Feline
2020,Maine,3080,116,0,5,1,173,Feline
2021,Maine,2990,119,0,10,17,224,Feline
2022,Maine,3123,112,11,71,16,222,Feline
2019,Michigan,22381,722,417,2405,144,4000,Feline
2020,Michigan,19841,718,159,1345,51,2631,Feline
2021,Michigan,21484,707,454,475,46,2676,Feline
2022,Michigan,20860,681,460,920,19,2825,Feline
2019,Minnesota,6764,331,264,1136,1,648,Feline
2020,Minnesota,7755,269,160,968,3,434,Feline
